allenkitch,poster,1
andrealibrary,mug,2
andrewlvrm,rocking horse,3
annlvrm,clock,4
beccakitch,fruit bowl,5
bedwithbath,slippers,6
benhall,clock,7
brianoffice,monitor,8
brucebdrm,magazine rack,9
carlrecroom,wall telephone,10
christykitch,pencil holder,11
cosbylvrm,backpack,12
dormroom,clock,13
eddiekitch,espresso machine,14
ericalvrm,magazine rack,15
garylvrm,clock,16
janelvrm,telephone,17
jeffbath,trash can,18
jennbath,mirror,19
jimkitch,toaster,20
joeoffice,trash can,21
judylvrm,clock,22
kitchen1,toaster,23
kitchen5,dustpan,24
kitchen6,ceiling light,25
kitchenbrown,microwave,26
lisaoff,dustpan,27
markbdrm,decorative star,28
melissabdrm,lamp,29
samkitch,trash can,30
sandygarage,blinds,31
seanbdrm,alarm clock,32
stevebdrm,cardboard box,33
tonydining,wall light,34
victoriakitch,mixer,35
zachlvrm,toy blocks,36
,,
