allenkitch,microwave,1,,
andrealibrary,umbrella,2,,
andrewlvrm,mounted deer head,3,,
annlvrm,VCR,4,,
beccakitch,recycling bin,5,,
bedwithbath,clock,6,,
benhall,cushion,7,,
brianoffice,stool,8,,
brucebdrm,decorative sword,9,,
carlrecroom,laptop,10,,
christykitch,stool,11,,
cosbylvrm,wall telephone,12,,
dormroom,thermos,13,,
eddiekitch,crate,14,,
ericalvrm,wall light,15,,
garylvrm,wine bottle,16,,
janelvrm,umbrella stand,17,,
jeffbath,clock,18,,
jennbath,toothbrush,19,,
jimkitch,crate,20,,
joeoffice,mirror,21,,
judylvrm,lamp,22,,
kitchen1,mop bucket,23,,
kitchen5,wall light,24,,
kitchen6,mug,25,,
kitchenbrown,stool,26,,
lisaoff,clock,27,,
markbdrm,guitar,28,,
melissabdrm,trash can,29,,
samkitch,ceiling fan,30,,
sandygarage,hand drill,31,,
seanbdrm,laundry basket,32,,
stevebdrm,curtain,33,,
tonydining,lamp,34,,
victoriakitch,sandals,35,,
zachlvrm,spotlight,36,,
,,,,
