CB,Category,Identity,typicality,imagefile
3,doorknob,dis1,atyp,doorknob_label_atyp_dis1.bmp
3,drill,dis1,typ,drill_label_typ_dis1.bmp
3,drum,dis1,atyp,drum_label_atyp_dis1.bmp
3,fan,dis1,typ,fan_label_typ_dis1.bmp
3,flower,dis1,atyp,flower_label_atyp_dis1.bmp
3,glasses,dis1,typ,glasses_label_typ_dis1.bmp
3,grenade,dis1,atyp,grenade_label_atyp_dis1.bmp
3,hammer,dis1,typ,hammer_label_typ_dis1.bmp
3,doorknob,dis2,atyp,doorknob_label_atyp_dis2.bmp
3,drill,dis2,typ,drill_label_typ_dis2.bmp
3,drum,dis2,atyp,drum_label_atyp_dis2.bmp
3,fan,dis2,typ,fan_label_typ_dis2.bmp
3,flower,dis2,atyp,flower_label_atyp_dis2.bmp
3,glasses,dis2,typ,glasses_label_typ_dis2.bmp
3,grenade,dis2,atyp,grenade_label_atyp_dis2.bmp
3,hammer,dis2,typ,hammer_label_typ_dis2.bmp
3,doorknob,dis3,atyp,doorknob_label_atyp_dis3.bmp
3,drill,dis3,typ,drill_label_typ_dis3.bmp
3,drum,dis3,atyp,drum_label_atyp_dis3.bmp
3,fan,dis3,typ,fan_label_typ_dis3.bmp
3,flower,dis3,atyp,flower_label_atyp_dis3.bmp
3,glasses,dis3,typ,glasses_label_typ_dis3.bmp
3,grenade,dis3,atyp,grenade_label_atyp_dis3.bmp
3,hammer,dis3,typ,hammer_label_typ_dis3.bmp
3,doorknob,dis4,atyp,doorknob_label_atyp_dis4.bmp
3,drill,dis4,typ,drill_label_typ_dis4.bmp
3,drum,dis4,atyp,drum_label_atyp_dis4.bmp
3,fan,dis4,typ,fan_label_typ_dis4.bmp
3,flower,dis4,atyp,flower_label_atyp_dis4.bmp
3,glasses,dis4,typ,glasses_label_typ_dis4.bmp
3,grenade,dis4,atyp,grenade_label_atyp_dis4.bmp
3,hammer,dis4,typ,hammer_label_typ_dis4.bmp
3,doorknob,dis5,atyp,doorknob_label_atyp_dis5.bmp
3,drill,dis5,typ,drill_label_typ_dis5.bmp
3,drum,dis5,atyp,drum_label_atyp_dis5.bmp
3,fan,dis5,typ,fan_label_typ_dis5.bmp
3,flower,dis5,atyp,flower_label_atyp_dis5.bmp
3,glasses,dis5,typ,glasses_label_typ_dis5.bmp
3,grenade,dis5,atyp,grenade_label_atyp_dis5.bmp
3,hammer,dis5,typ,hammer_label_typ_dis5.bmp
3,doorknob,sim1,atyp,doorknob_label_atyp_sim1.bmp
3,drill,sim1,typ,drill_label_typ_sim1.bmp
3,drum,sim1,atyp,drum_label_atyp_sim1.bmp
3,fan,sim1,typ,fan_label_typ_sim1.bmp
3,flower,sim1,atyp,flower_label_atyp_sim1.bmp
3,glasses,sim1,typ,glasses_label_typ_sim1.bmp
3,grenade,sim1,atyp,grenade_label_atyp_sim1.bmp
3,hammer,sim1,typ,hammer_label_typ_sim1.bmp
3,doorknob,sim2,atyp,doorknob_label_atyp_sim2.bmp
3,drill,sim2,typ,drill_label_typ_sim2.bmp
3,drum,sim2,atyp,drum_label_atyp_sim2.bmp
3,fan,sim2,typ,fan_label_typ_sim2.bmp
3,flower,sim2,atyp,flower_label_atyp_sim2.bmp
3,glasses,sim2,typ,glasses_label_typ_sim2.bmp
3,grenade,sim2,atyp,grenade_label_atyp_sim2.bmp
3,hammer,sim2,typ,hammer_label_typ_sim2.bmp
3,doorknob,sim3,atyp,doorknob_label_atyp_sim3.bmp
3,drill,sim3,typ,drill_label_typ_sim3.bmp
3,drum,sim3,atyp,drum_label_atyp_sim3.bmp
3,fan,sim3,typ,fan_label_typ_sim3.bmp
3,flower,sim3,atyp,flower_label_atyp_sim3.bmp
3,glasses,sim3,typ,glasses_label_typ_sim3.bmp
3,grenade,sim3,atyp,grenade_label_atyp_sim3.bmp
3,hammer,sim3,typ,hammer_label_typ_sim3.bmp
3,doorknob,sim4,atyp,doorknob_label_atyp_sim4.bmp
3,drill,sim4,typ,drill_label_typ_sim4.bmp
3,drum,sim4,atyp,drum_label_atyp_sim4.bmp
3,fan,sim4,typ,fan_label_typ_sim4.bmp
3,flower,sim4,atyp,flower_label_atyp_sim4.bmp
3,glasses,sim4,typ,glasses_label_typ_sim4.bmp
3,grenade,sim4,atyp,grenade_label_atyp_sim4.bmp
3,hammer,sim4,typ,hammer_label_typ_sim4.bmp
3,doorknob,sim5,atyp,doorknob_label_atyp_sim5.bmp
3,drill,sim5,typ,drill_label_typ_sim5.bmp
3,drum,sim5,atyp,drum_label_atyp_sim5.bmp
3,fan,sim5,typ,fan_label_typ_sim5.bmp
3,flower,sim5,atyp,flower_label_atyp_sim5.bmp
3,glasses,sim5,typ,glasses_label_typ_sim5.bmp
3,grenade,sim5,atyp,grenade_label_atyp_sim5.bmp
3,hammer,sim5,typ,hammer_label_typ_sim5.bmp
3,doorknob,target,atyp,doorknob_label_atyp_target.bmp
3,drill,target,typ,drill_label_typ_target.bmp
3,drum,target,atyp,drum_label_atyp_target.bmp
3,fan,target,typ,fan_label_typ_target.bmp
3,flower,target,atyp,flower_label_atyp_target.bmp
3,glasses,target,typ,glasses_label_typ_target.bmp
3,grenade,target,atyp,grenade_label_atyp_target.bmp
3,hammer,target,typ,hammer_label_typ_target.bmp
